ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH,CMI,DD1040
"FR01","FR01",54.3703536352466,-126.397195777784,1028,1.4,12.2,-10.1,22.3,607,231,18.8,52.6,1175,769,6029,10,139,168,251,83,303,-40.5,30.3,11,454,178,66,28.26,209
"FR02","FR02",54.2271126012559,-126.864512623192,743,2.5,13.6,-9.9,23.6,467,199,26.8,68.4,1066,989,5630,14,146,165,251,87,201,-40.7,32.4,10.5,523,286,61,5.06,337
"FR03","FR03",54.3483655737864,-126.309218728756,966,1.6,12.4,-10.2,22.6,580,221,20.1,56.1,1159,812,5957,12,141,166,251,84,283,-40.8,30.8,10.9,468,204,65,23.68,231
"FR04","FR04",54.2254950945637,-126.720311047056,951,1.8,12.7,-9.9,22.6,547,219,21.6,57.9,1130,846,5884,13,140,169,253,83,259,-40.4,31.1,11.1,482,220,64,18.61,253
"FR05","FR05",54.3558685237181,-126.325875520706,978,1.6,12.4,-10.2,22.6,587,223,19.7,55.4,1163,804,5970,12,140,166,251,84,288,-40.8,30.7,11,465,198,65,24.78,227
"FR06","FR06",54.3645269350248,-126.344457864761,1114,1.2,11.8,-10.3,22.1,639,236,17.5,50.1,1202,723,6118,9,141,164,251,87,330,-40.7,29.7,11,432,155,67,33.86,184
"FR07","FR07",54.3659706823929,-126.328558545636,961,1.7,12.5,-10.2,22.8,585,221,20,56.7,1154,822,5937,12,142,165,250,86,285,-40.8,30.8,10.9,467,204,65,24.08,237
"FR08","FR08",54.3619754854614,-126.39482836597,1066,1.3,12,-10.1,22.1,619,235,18.3,51,1185,746,6071,10,138,168,251,83,312,-40.4,30.1,11,447,170,66,30.26,197
"FR09","FR09",54.3625597117056,-126.377133481583,1141,1.1,11.7,-10.2,21.9,646,241,17.2,48.5,1206,705,6147,9,139,166,251,85,335,-40.4,29.6,11,429,149,68,35,176
"FR10","FR10",54.3655040628509,-126.38181162826,1109,1.2,11.8,-10.2,22,636,238,17.6,49.7,1197,723,6113,10,139,167,251,84,326,-40.4,29.8,11,436,156,67,33.21,185
"FR11","FR11",54.234904073116,-126.722765341401,1040,1.6,12.3,-9.9,22.2,594,227,19.5,54.2,1156,794,5980,12,138,170,253,83,296,-40.5,30.5,11.4,466,195,65,25.26,222
"FR12","FR12",54.2590515921279,-126.496876609994,1279,0.7,11.2,-10.1,21.3,671,255,16,43.8,1241,632,6284,9,135,168,250,82,362,-40.5,28.7,11.5,409,121,69,39.87,141
"FR13","FR13",54.2651490713427,-126.494009728119,1261,0.8,11.2,-10.1,21.3,663,254,16.3,44.2,1235,640,6267,9,135,168,250,82,354,-40.5,28.8,11.4,413,124,68,38.72,144
"FR14","FR14",54.3888637555429,-126.929367665018,1020,1.8,12.5,-9.8,22.3,635,221,18.5,56.3,1117,813,5908,12,142,167,252,85,329,-40.2,30.4,11.1,465,200,65,29.24,232
"FR15","FR15",54.3862860838894,-126.928243135128,1055,1.7,12.3,-9.9,22.2,660,225,17.7,54.7,1130,793,5947,12,142,166,252,86,349,-40.2,30.1,11.1,457,191,66,32.68,221
"FR16","FR16",54.3968558707432,-126.919266424391,1051,1.7,12.4,-9.9,22.2,648,223,18.1,55.7,1123,800,5930,12,143,165,252,87,341,-40.2,30.2,11.1,457,193,66,31.49,226
"FR17","FR17",54.4012616606721,-126.903676307872,969,2,12.8,-9.8,22.6,597,214,20.1,59.7,1091,855,5823,13,145,165,252,87,297,-40.2,30.7,11.1,473,214,64,24.19,257
"FR18","FR18",54.1320181923569,-126.622131162283,849,2,12.8,-9.9,22.7,557,220,21.5,58.1,1116,877,5826,12,140,169,252,82,260,-40.7,31.7,10.1,496,230,63,17.98,269
"FR19","FR19",54.2388483756563,-126.677429125456,916,2,12.9,-10.1,22.9,525,215,22.8,59.9,1120,873,5835,12,142,168,252,84,241,-40.5,31.2,10.8,487,230,64,15.56,267
"FR20","FR20",54.1946063057766,-126.778247699243,845,2.2,13.2,-9.9,23.1,499,208,24.6,63.5,1086,925,5732,13,144,167,253,86,222,-40.5,31.8,10.8,504,254,62,10.8,299
"FR21","FR21",54.1325960142599,-126.646035414288,936,1.8,12.5,-9.9,22.3,579,225,20.4,55.4,1127,829,5900,12,139,169,252,83,278,-40.5,31.1,10.4,480,208,64,22.15,241
"FR22","FR22",54.3002258976751,-126.263328188215,1118,1.1,11.7,-10.2,21.9,621,237,17.9,49.1,1206,706,6143,9,137,167,251,83,319,-40.6,29.6,11,435,156,67,31.96,175
"FR23","FR23",54.3092903829583,-126.277506158318,1128,1.1,11.6,-10.2,21.8,627,238,17.7,48.6,1214,699,6163,9,137,167,251,84,324,-40.7,29.6,11,433,152,67,32.8,171
"FR24","FR24",53.5930849655531,-124.959182287032,855,2.4,13.7,-10.6,24.4,499,221,24.9,62.2,1108,993,5674,15,144,168,251,84,204,-42.2,32.4,11.4,525,262,59,8.29,341
"FR25","FR25",53.6781388931281,-124.861127915358,741,2.6,14.2,-10.9,25.1,477,222,26.4,63.9,1120,1062,5610,17,143,169,251,82,188,-42.6,33.3,10.8,549,285,58,2.97,384
"FR26","FR26",53.6186054175487,-124.90667178634,904,2.3,13.5,-10.6,24.1,507,225,24.2,60.2,1118,960,5726,13,142,169,251,82,211,-42.2,32.1,11.2,518,251,59,10.09,320
"FR27","FR27",53.6200720482539,-124.899367631471,900,2.3,13.5,-10.6,24.2,507,225,24.2,60.2,1119,962,5724,13,142,169,251,81,211,-42.2,32.2,11.2,519,253,59,9.99,322
"FR28","FR28",53.5881463789765,-124.981807601803,878,2.4,13.6,-10.5,24.1,503,222,24.6,61.1,1105,974,5693,14,143,169,251,83,205,-42,32.3,11.3,521,258,59,9.25,328
"FR29","FR29",53.5908928323209,-124.987715067937,887,2.3,13.5,-10.5,24,504,223,24.5,60.8,1106,966,5702,14,143,169,251,83,206,-41.9,32.2,11.3,519,256,60,9.62,324
"FR30","FR30",53.8921022846274,-125.072905998222,1142,1.5,12.3,-10,22.3,625,252,18.4,48.8,1173,789,6002,11,144,165,254,89,306,-40.5,30,11.4,454,163,67,29.74,218
"FR31","FR31",53.835977081286,-124.974468313158,1119,1.6,12.4,-10,22.5,603,252,19.3,49.3,1163,812,5962,12,141,168,252,83,282,-40.8,30.6,10.9,472,180,65,25.31,230
"FR32","FR32",53.7916484590135,-124.887430534891,947,2.2,13.4,-10.4,23.8,542,240,22.5,55.9,1125,943,5756,13,142,169,252,82,231,-41.8,31.9,11.2,511,228,61,14.28,310
"FR33","FR33",53.7723125730221,-124.897518006186,879,2.4,13.6,-10.4,24,521,236,23.7,57.9,1107,981,5691,14,142,170,251,82,214,-41.8,32.4,11.2,525,248,60,10.45,333
"FR34","FR34",53.8310316779676,-124.981233621622,1119,1.6,12.4,-10,22.4,603,252,19.3,49.3,1159,812,5956,12,141,168,252,84,281,-40.8,30.6,10.9,473,180,65,25.28,230
"FR35","FR35",53.8283309340098,-124.981102615181,1116,1.6,12.4,-10,22.4,603,252,19.3,49.3,1158,814,5952,12,141,168,252,83,280,-40.8,30.6,10.9,473,182,65,25.12,231
"FR36","FR36",53.5679778822163,-124.745548147562,936,2.2,13.4,-10.4,23.8,534,232,22.9,57.8,1117,946,5743,13,139,173,251,78,226,-42.2,32,11.3,519,245,59,12.77,313
"FR37","FR37",53.5847883945499,-124.962394499334,870,2.4,13.7,-10.6,24.3,501,221,24.7,61.8,1106,985,5682,14,144,168,251,84,205,-42.1,32.3,11.3,522,261,59,8.79,336
"FR38","FR38",53.5487454674807,-123.865785363048,841,2.4,14.1,-11.1,25.2,539,233,22.9,60.4,1174,1039,5696,16,140,167,248,82,230,-43.3,33,10.9,550,270,57,9.25,370
"FR39","FR39",53.5494430266531,-123.888707904643,850,2.4,14.1,-11.1,25.2,537,234,23,60.3,1172,1039,5693,16,140,167,249,82,228,-43.3,33,10.9,550,270,57,9.06,370
"FR40","FR40",53.5307356059984,-123.887320049107,805,2.4,14.1,-10.9,25.1,540,234,23,60.5,1164,1048,5676,17,139,168,248,80,230,-43.3,33.2,10.5,557,275,56,8.67,375
"FR41","FR41",53.5264071465603,-123.923489676418,802,2.5,14.2,-10.9,25.1,533,232,23.4,61.4,1157,1062,5650,17,139,168,248,80,225,-43.3,33.4,10.6,561,283,56,7.25,384
"FR42","FR42",53.5749024838481,-124.523727912051,1052,1.9,12.8,-10,22.8,563,242,21.2,53,1132,872,5854,12,133,176,250,74,248,-42.6,31.4,11.4,508,223,58,17.27,266
"FR43","FR43",53.687435911582,-124.111648102534,1267,0.9,12,-11.5,23.5,636,292,17.2,41.1,1301,744,6209,8,133,178,252,74,295,-42.7,29.8,11.7,460,134,64,30.87,192
"FR44","FR44",53.6955064994263,-124.096922395164,1242,1,12.1,-11.5,23.6,633,290,17.4,41.8,1291,757,6180,9,133,178,251,74,292,-42.6,29.9,11.6,463,139,64,30.16,199
"FR45","FR45",53.9191144243941,-125.020226223385,1151,1.4,12.2,-10.1,22.3,623,250,18.3,48.8,1186,773,6037,10,142,165,254,88,310,-40.7,29.9,11.6,452,163,67,29.92,209
"FR46","FR46",53.9273824381601,-125.081054175973,949,2.2,13.2,-9.9,23.1,580,240,21,55,1106,919,5762,13,148,164,255,91,264,-40.6,31.2,10.6,490,205,64,20.61,294
"FR47","FR47",53.8558166078955,-124.27855706653,840,2.2,13.8,-11.3,25.1,545,245,22.4,56.2,1186,1012,5740,15,143,165,252,87,230,-42.9,32.6,11.1,529,237,58,12.41,351
"FR48","FR48",53.6642616427693,-124.350557866362,1210,1.2,11.9,-10.9,22.9,611,269,18.3,44.4,1243,753,6125,8,131,174,249,75,283,-42.5,30.3,11.3,473,164,62,26.83,196
"FR49","FR49",53.8136060136976,-124.364922363225,904,2.1,13.5,-11.2,24.6,552,249,21.9,54.1,1179,964,5796,13,140,169,252,83,236,-42.5,32.2,11.1,520,226,59,14.43,322
"FR50","FR50",53.8319610280933,-124.321460924444,903,2,13.5,-11.3,24.8,552,250,21.8,54,1188,966,5805,13,141,167,251,84,236,-42.7,32.2,11.1,518,224,59,14.63,322
"FR51","FR51",53.8578332750701,-125.311937069929,933,2.4,13.4,-9.7,23.1,541,238,22.9,56.5,1064,952,5675,15,148,166,256,90,227,-40.6,31.7,11.2,498,218,62,15.55,316
"FR52","FR52",53.9250473966514,-125.071724402014,1020,1.9,12.9,-10,22.8,597,244,20,52.7,1131,870,5853,13,147,164,255,91,280,-40.5,30.7,10.8,475,189,65,24.13,265
"FR53","FR53",53.9213972971618,-125.071306755091,1054,1.8,12.7,-10,22.7,607,247,19.4,51.6,1144,846,5897,12,146,164,255,91,289,-40.5,30.5,10.9,468,180,66,25.98,251
"FR54","FR54",53.5585649367247,-124.505042316644,1035,2,12.9,-10.1,22.9,558,240,21.4,53.5,1126,880,5836,12,133,176,250,74,244,-42.6,31.6,11.3,512,228,58,16.23,271
"FR55","FR55",53.5573290028628,-124.506522561955,1021,2,12.9,-10.1,23,555,239,21.6,54,1123,888,5822,12,133,176,250,74,242,-42.6,31.7,11.3,515,233,57,15.56,275
"FR56","FR56",53.5668194155981,-123.85129059201,862,2.3,14.1,-11.2,25.3,535,231,23.1,61.1,1178,1042,5698,16,141,166,249,83,229,-43.3,32.9,11.2,548,269,57,9.11,372
"FR57","FR57",53.4724334676248,-124.323671090639,1054,1.8,12.9,-10.9,23.8,548,242,21.6,53.3,1172,874,5893,10,132,175,247,72,239,-42.8,31.7,11.2,515,228,58,14.95,266
"FR58","FR58",53.4666127303267,-124.315916722324,1061,1.8,12.9,-10.9,23.8,548,242,21.5,53.1,1177,870,5904,10,132,175,246,71,240,-42.8,31.7,11.2,515,226,58,15.06,264
"FR59","FR59",53.6695147764322,-124.855514612023,795,2.5,14,-10.9,24.8,488,223,25.5,62.5,1125,1026,5659,16,143,169,251,83,197,-42.5,32.8,10.9,536,271,58,5.82,362
"FR60","FR60",53.6209932323033,-124.866821013864,916,2.3,13.5,-10.7,24.2,514,226,23.9,59.8,1123,961,5730,13,142,170,251,81,215,-42.3,32.1,11.3,518,251,59,10.66,321
"FR61","FR61",53.3761988193951,-123.774132099499,949,2,13.7,-11.3,25,540,238,22.2,57.4,1219,974,5825,13,135,170,246,77,235,-44,32.6,11.5,541,254,57,10.98,330
"FR62","FR62",53.4009501309695,-123.829852252298,999,1.8,13.5,-11.5,25,552,245,21.4,55.2,1241,950,5880,13,135,171,248,77,243,-43.7,32.3,11.6,531,239,58,13.59,315
"FR63","FR63",53.4936822510379,-123.950432464903,960,1.9,13.4,-11.3,24.8,551,244,21.5,55.1,1227,943,5871,12,138,169,249,80,242,-43.5,32.1,10.8,523,232,59,14.55,310
"FR64","FR64",53.5695056973615,-124.745438772498,930,2.2,13.4,-10.4,23.8,533,232,23,57.9,1117,949,5739,13,139,173,251,78,225,-42.2,32.1,11.3,520,246,59,12.53,314
"FR65","FR65",53.559137062165,-124.497332210892,1033,2,12.8,-10.1,22.9,558,241,21.5,53.4,1125,881,5833,12,133,175,250,74,243,-42.7,31.6,11.3,513,228,58,16.11,271
"FR66","FR66",53.5566827779136,-124.513668919465,1031,2,12.9,-10.1,22.9,557,240,21.5,53.7,1126,883,5833,12,133,176,250,74,243,-42.6,31.6,11.3,513,229,58,16.08,273
"FR67","FR67",53.5616504022257,-124.498807422507,1025,2,12.9,-10.1,23,556,240,21.6,53.7,1123,886,5825,12,133,175,250,74,242,-42.7,31.6,11.3,514,230,57,15.75,274
"FR68","FR68",53.5074972147278,-123.936864899822,942,2,13.5,-11.3,24.8,550,242,21.8,55.9,1214,961,5835,13,138,169,249,80,240,-43.5,32.3,10.9,528,240,58,13.62,321
"FR69","FR69",53.5718312337923,-124.732963193318,926,2.2,13.5,-10.4,23.9,531,232,23.1,58.1,1115,954,5732,13,139,172,251,78,224,-42.3,32.1,11.2,521,247,58,12.2,317
"FR70","FR70",53.5214378116661,-124.960419608492,913,2.4,13.6,-10.5,24,507,222,24.4,61,1100,968,5694,14,144,168,252,84,208,-42,32.1,11.1,515,254,59,10.26,325
"FR71","FR71",53.7140339116567,-123.474150702216,1025,2,13.8,-11.4,25.3,612,261,19.6,53,1225,986,5823,14,151,155,253,98,273,-42.7,31.6,11.2,493,185,64,23.29,339
"FR72","FR72",53.7128980610703,-123.455407801333,959,2.2,14.1,-11.3,25.3,605,257,20.1,54.7,1205,1025,5755,16,150,156,253,97,267,-42.7,32.1,11.2,509,203,62,20.76,364
"FR73","FR73",53.6191050311723,-122.620057447774,734,3.4,14.9,-9.9,24.9,647,279,20.7,53.4,1007,1180,5330,24,158,154,255,101,252,-40.2,33.4,11.2,557,227,60,17.94,459
"FR74","FR74",53.614087376816,-122.628935020482,756,3.3,14.9,-10,24.8,654,281,20.4,53,1010,1175,5339,24,159,153,255,102,256,-40.1,33.4,11.2,552,221,61,19.2,455
"FR75","FR75",53.6109860424729,-122.621126858581,794,3.2,14.7,-10.1,24.8,667,284,19.8,51.8,1027,1147,5398,22,158,153,255,101,267,-40.2,33.2,11.2,545,213,61,21.62,437
