PlotID,Sub-Plot,Species,Live/Dead,Height_class(cm),Tally,Notes
FR09,C2,Bl,D,31-130,0,
FR09,C2,Ac,L,0-30,0,
FR09,C2,Ac,L,31-130,1,
FR09,C2,Ac,D,0-30,0,
FR09,C2,Ac,D,31-130,0,
FR09,C2,Fd,L,0-30,0,
FR09,C2,Fd,L,31-130,0,
FR09,C2,Fd,D,0-30,0,
FR09,C2,Fd,D,31-130,0,
FR09,C2,Ep,L,0-30,0,
FR09,C2,Ep,L,31-130,0,
FR09,C2,Ep,D,0-30,0,
FR09,C2,Ep,D,31-130,0,
FR09,C2,Lw,L,0-30,0,
FR09,C2,Lw,L,31-130,2,
FR09,C2,Lw,D,0-30,0,
FR09,C2,Lw,D,31-130,0,
FR10,A1,Pl,L,0-30,0,
FR10,A1,Pl,L,31-130,0,
FR10,A1,Pl,D,0-30,0,
FR10,A1,Pl,D,31-130,0,
FR10,A1,Sx,L,0-30,0,
FR10,A1,Sx,L,31-130,0,
FR10,A1,Sx,D,0-30,0,
FR10,A1,Sx,D,31-130,0,
FR10,A1,At,L,0-30,2,
FR10,A1,At,L,31-130,1,
FR10,A1,At,D,0-30,0,
FR10,A1,At,D,31-130,0,
FR10,A1,Bl,L,0-30,0,
FR10,A1,Bl,L,31-130,0,
FR10,A1,Bl,D,0-30,0,
FR10,A1,Bl,D,31-130,0,
FR10,A1,Ac,L,0-30,0,
FR10,A1,Ac,L,31-130,0,
FR10,A1,Ac,D,0-30,0,
FR10,A1,Ac,D,31-130,0,
FR10,A1,Fd,L,0-30,0,
FR10,A1,Fd,L,31-130,0,
FR10,A1,Fd,D,0-30,0,
FR10,A1,Fd,D,31-130,0,
FR10,A1,Ep,L,0-30,0,
FR10,A1,Ep,L,31-130,0,
FR10,A1,Ep,D,0-30,0,
FR10,A1,Ep,D,31-130,0,
FR10,A1,Lw,L,0-30,0,
FR10,A1,Lw,L,31-130,0,
FR10,A1,Lw,D,0-30,0,
FR10,A1,Lw,D,31-130,0,
FR10,C1,Pl,L,0-30,0,
FR10,C1,Pl,L,31-130,0,
FR10,C1,Pl,D,0-30,0,
FR10,C1,Pl,D,31-130,0,
FR10,C1,Sx,L,0-30,0,
FR10,C1,Sx,L,31-130,0,
FR10,C1,Sx,D,0-30,0,
FR10,C1,Sx,D,31-130,0,
FR10,C1,At,L,0-30,0,
FR10,C1,At,L,31-130,0,
FR10,C1,At,D,0-30,0,
FR10,C1,At,D,31-130,0,
FR10,C1,Bl,L,0-30,0,
FR10,C1,Bl,L,31-130,0,
FR10,C1,Bl,D,0-30,0,
FR10,C1,Bl,D,31-130,0,
FR10,C1,Ac,L,0-30,0,
FR10,C1,Ac,L,31-130,0,
FR10,C1,Ac,D,0-30,0,
FR10,C1,Ac,D,31-130,0,
FR10,C1,Fd,L,0-30,0,
FR10,C1,Fd,L,31-130,0,
FR10,C1,Fd,D,0-30,0,
FR10,C1,Fd,D,31-130,0,
FR10,C1,Ep,L,0-30,0,
FR10,C1,Ep,L,31-130,0,
FR10,C1,Ep,D,0-30,0,
FR10,C1,Ep,D,31-130,0,
FR10,C1,Lw,L,0-30,0,
FR10,C1,Lw,L,31-130,0,
FR10,C1,Lw,D,0-30,0,
FR10,C1,Lw,D,31-130,0,
FR10,C2,Pl,L,0-30,0,
FR10,C2,Pl,L,31-130,0,
FR10,C2,Pl,D,0-30,0,
FR10,C2,Pl,D,31-130,0,
FR10,C2,Sx,L,0-30,0,
FR10,C2,Sx,L,31-130,0,
FR10,C2,Sx,D,0-30,0,
FR10,C2,Sx,D,31-130,0,
FR10,C2,At,L,0-30,0,
FR10,C2,At,L,31-130,0,
FR10,C2,At,D,0-30,0,
FR10,C2,At,D,31-130,0,
FR10,C2,Bl,L,0-30,0,
FR10,C2,Bl,L,31-130,0,
FR10,C2,Bl,D,0-30,0,
FR10,C2,Bl,D,31-130,0,
FR10,C2,Ac,L,0-30,0,
FR10,C2,Ac,L,31-130,0,
FR10,C2,Ac,D,0-30,0,
FR10,C2,Ac,D,31-130,0,
FR10,C2,Fd,L,0-30,0,
FR10,C2,Fd,L,31-130,0,
FR10,C2,Fd,D,0-30,0,
FR10,C2,Fd,D,31-130,0,
FR10,C2,Ep,L,0-30,0,
FR10,C2,Ep,L,31-130,0,
FR10,C2,Ep,D,0-30,0,
FR10,C2,Ep,D,31-130,0,
FR10,C2,Lw,L,0-30,0,
FR10,C2,Lw,L,31-130,0,
FR10,C2,Lw,D,0-30,0,
FR10,C2,Lw,D,31-130,0,
FR10,C3,Pl,L,0-30,0,
FR10,C3,Pl,L,31-130,0,
FR10,C3,Pl,D,0-30,0,
FR10,C3,Pl,D,31-130,0,
FR10,C3,Sx,L,0-30,0,
FR10,C3,Sx,L,31-130,0,
FR10,C3,Sx,D,0-30,0,
FR10,C3,Sx,D,31-130,0,
FR10,C3,At,L,0-30,0,
FR10,C3,At,L,31-130,0,
FR10,C3,At,D,0-30,0,
FR10,C3,At,D,31-130,0,
FR10,C3,Bl,L,0-30,0,
FR10,C3,Bl,L,31-130,0,
FR10,C3,Bl,D,0-30,0,
FR10,C3,Bl,D,31-130,0,
FR10,C3,Ac,L,0-30,0,
FR10,C3,Ac,L,31-130,1,
FR10,C3,Ac,D,0-30,0,
FR10,C3,Ac,D,31-130,0,
FR10,C3,Fd,L,0-30,0,
FR10,C3,Fd,L,31-130,0,
FR10,C3,Fd,D,0-30,0,
FR10,C3,Fd,D,31-130,0,
FR10,C3,Ep,L,0-30,0,
FR10,C3,Ep,L,31-130,0,
FR10,C3,Ep,D,0-30,0,
FR10,C3,Ep,D,31-130,0,
FR10,C3,Lw,L,0-30,0,
FR10,C3,Lw,L,31-130,0,
FR10,C3,Lw,D,0-30,0,
FR10,C3,Lw,D,31-130,0,
FR11,A1,Pl,L,0-30,2,
FR11,A1,Pl,L,31-130,3,
FR11,A1,Pl,D,0-30,0,
FR11,A1,Pl,D,31-130,0,
FR11,A1,Sx,L,0-30,0,
FR11,A1,Sx,L,31-130,0,
FR11,A1,Sx,D,0-30,0,
FR11,A1,Sx,D,31-130,0,
FR11,A1,At,L,0-30,0,
FR11,A1,At,L,31-130,0,
FR11,A1,At,D,0-30,0,
FR11,A1,At,D,31-130,0,
FR11,A1,Bl,L,0-30,2,
FR11,A1,Bl,L,31-130,0,
FR11,A1,Bl,D,0-30,0,
FR11,A1,Bl,D,31-130,0,
FR11,A1,Ac,L,0-30,0,
FR11,A1,Ac,L,31-130,0,
FR11,A1,Ac,D,0-30,0,
FR11,A1,Ac,D,31-130,0,
FR11,A1,Fd,L,0-30,0,
FR11,A1,Fd,L,31-130,0,
FR11,A1,Fd,D,0-30,0,
FR11,A1,Fd,D,31-130,0,
FR11,A1,Ep,L,0-30,0,
FR11,A1,Ep,L,31-130,0,
FR11,A1,Ep,D,0-30,0,
FR11,A1,Ep,D,31-130,0,
FR11,A1,Lw,L,0-30,0,
FR11,A1,Lw,L,31-130,0,
FR11,A1,Lw,D,0-30,0,
FR11,A1,Lw,D,31-130,0,
FR11,C1,Pl,L,0-30,0,
FR11,C1,Pl,L,31-130,1,
FR11,C1,Pl,D,0-30,0,
FR11,C1,Pl,D,31-130,0,
FR11,C1,Sx,L,0-30,0,
FR11,C1,Sx,L,31-130,0,
FR11,C1,Sx,D,0-30,0,
FR11,C1,Sx,D,31-130,0,
FR11,C1,At,L,0-30,5,
FR11,C1,At,L,31-130,14,
FR11,C1,At,D,0-30,0,
FR11,C1,At,D,31-130,0,
FR11,C1,Bl,L,0-30,0,
FR11,C1,Bl,L,31-130,0,
FR11,C1,Bl,D,0-30,0,
FR11,C1,Bl,D,31-130,0,
FR11,C1,Ac,L,0-30,0,
FR11,C1,Ac,L,31-130,0,
FR11,C1,Ac,D,0-30,0,
FR11,C1,Ac,D,31-130,0,
FR11,C1,Fd,L,0-30,0,
FR11,C1,Fd,L,31-130,0,
FR11,C1,Fd,D,0-30,0,
FR11,C1,Fd,D,31-130,0,
FR11,C1,Ep,L,0-30,0,
FR11,C1,Ep,L,31-130,0,
FR11,C1,Ep,D,0-30,0,
FR11,C1,Ep,D,31-130,0,
FR11,C1,Lw,L,0-30,0,
FR11,C1,Lw,L,31-130,0,
FR11,C1,Lw,D,0-30,0,
FR11,C1,Lw,D,31-130,0,
FR12,A1,Pl,L,0-30,1,
FR12,A1,Pl,L,31-130,0,
FR12,A1,Pl,D,0-30,0,
FR12,A1,Pl,D,31-130,0,
FR12,A1,Sx,L,0-30,1,
FR12,A1,Sx,L,31-130,1,
FR12,A1,Sx,D,0-30,0,
FR12,A1,Sx,D,31-130,0,
FR12,A1,At,L,0-30,0,
FR12,A1,At,L,31-130,0,
FR12,A1,At,D,0-30,0,
FR12,A1,At,D,31-130,0,
FR12,A1,Bl,L,0-30,3,
FR12,A1,Bl,L,31-130,1,
FR12,A1,Bl,D,0-30,0,
FR12,A1,Bl,D,31-130,0,
FR12,A1,Ac,L,0-30,0,
FR12,A1,Ac,L,31-130,0,
FR12,A1,Ac,D,0-30,0,
FR12,A1,Ac,D,31-130,0,
FR12,A1,Fd,L,0-30,0,
FR12,A1,Fd,L,31-130,0,
FR12,A1,Fd,D,0-30,0,
FR12,A1,Fd,D,31-130,0,
FR12,A1,Ep,L,0-30,0,
FR12,A1,Ep,L,31-130,0,
FR12,A1,Ep,D,0-30,0,
FR12,A1,Ep,D,31-130,0,
FR12,A1,Lw,L,0-30,0,
FR12,A1,Lw,L,31-130,0,
FR12,A1,Lw,D,0-30,0,
FR12,A1,Lw,D,31-130,0,
FR12,A1,UC,D,31-130,1,
FR12,C1,Pl,L,0-30,0,
FR12,C1,Pl,L,31-130,0,
FR12,C1,Pl,D,0-30,0,
FR12,C1,Pl,D,31-130,0,
FR12,C1,Sx,L,0-30,0,
FR12,C1,Sx,L,31-130,1,
FR12,C1,Sx,D,0-30,0,
FR12,C1,Sx,D,31-130,0,
FR12,C1,At,L,0-30,0,
FR12,C1,At,L,31-130,0,
FR12,C1,At,D,0-30,0,
FR12,C1,At,D,31-130,0,
FR12,C1,Bl,L,0-30,0,
FR12,C1,Bl,L,31-130,0,
FR12,C1,Bl,D,0-30,0,
FR12,C1,Bl,D,31-130,0,
FR12,C1,Ac,L,0-30,0,
FR12,C1,Ac,L,31-130,0,
FR12,C1,Ac,D,0-30,0,
FR12,C1,Ac,D,31-130,0,
FR12,C1,Fd,L,0-30,0,
FR12,C1,Fd,L,31-130,0,
FR12,C1,Fd,D,0-30,0,
FR12,C1,Fd,D,31-130,0,
FR12,C1,Ep,L,0-30,0,
FR12,C1,Ep,L,31-130,0,
FR12,C1,Ep,D,0-30,0,
FR12,C1,Ep,D,31-130,0,
FR12,C1,Lw,L,0-30,0,
FR12,C1,Lw,L,31-130,0,
FR12,C1,Lw,D,0-30,0,
FR12,C1,Lw,D,31-130,0,
FR12,C2,Pl,L,0-30,0,
FR12,C2,Pl,L,31-130,0,
FR12,C2,Pl,D,0-30,0,
FR12,C2,Pl,D,31-130,0,
FR12,C2,Sx,L,0-30,0,
FR12,C2,Sx,L,31-130,0,
FR12,C2,Sx,D,0-30,0,
FR12,C2,Sx,D,31-130,0,
FR12,C2,At,L,0-30,0,
FR12,C2,At,L,31-130,0,
FR12,C2,At,D,0-30,0,
FR12,C2,At,D,31-130,0,
FR12,C2,Bl,L,0-30,2,
FR12,C2,Bl,L,31-130,0,
FR12,C2,Bl,D,0-30,0,
FR12,C2,Bl,D,31-130,0,
FR12,C2,Ac,L,0-30,0,
FR12,C2,Ac,L,31-130,0,
FR12,C2,Ac,D,0-30,0,
FR12,C2,Ac,D,31-130,0,
FR12,C2,Fd,L,0-30,0,
FR12,C2,Fd,L,31-130,0,
FR12,C2,Fd,D,0-30,0,
FR12,C2,Fd,D,31-130,0,
FR12,C2,Ep,L,0-30,0,
FR12,C2,Ep,L,31-130,0,
FR12,C2,Ep,D,0-30,0,
FR12,C2,Ep,D,31-130,0,
FR12,C2,Lw,L,0-30,0,
FR12,C2,Lw,L,31-130,0,
FR12,C2,Lw,D,0-30,0,
FR12,C2,Lw,D,31-130,0,
FR12,C2,UC,D,31-130,2,
FR12,C3,Pl,L,0-30,0,
FR12,C3,Pl,L,31-130,0,
FR12,C3,Pl,D,0-30,0,
FR12,C3,Pl,D,31-130,0,
FR12,C3,Sx,L,0-30,0,
FR12,C3,Sx,L,31-130,0,
FR12,C3,Sx,D,0-30,0,
FR12,C3,Sx,D,31-130,0,
FR12,C3,At,L,0-30,0,
FR12,C3,At,L,31-130,0,
FR12,C3,At,D,0-30,0,
FR12,C3,At,D,31-130,0,
FR12,C3,Bl,L,0-30,1,
FR12,C3,Bl,L,31-130,0,
FR12,C3,Bl,D,0-30,0,
FR12,C3,Bl,D,31-130,0,
FR12,C3,Ac,L,0-30,0,
FR12,C3,Ac,L,31-130,0,
FR12,C3,Ac,D,0-30,0,
FR12,C3,Ac,D,31-130,0,
FR12,C3,Fd,L,0-30,0,
FR12,C3,Fd,L,31-130,0,
FR12,C3,Fd,D,0-30,0,
FR12,C3,Fd,D,31-130,0,
FR12,C3,Ep,L,0-30,0,
FR12,C3,Ep,L,31-130,0,
FR12,C3,Ep,D,0-30,0,
FR12,C3,Ep,D,31-130,0,
FR12,C3,Lw,L,0-30,0,
FR12,C3,Lw,L,31-130,0,
FR12,C3,Lw,D,0-30,0,
FR12,C3,Lw,D,31-130,0,
FR13,A1,Pl,L,0-30,0,
FR13,A1,Pl,L,31-130,0,
FR13,A1,Pl,D,0-30,1,
FR13,A1,Pl,D,31-130,0,
FR13,A1,Sx,L,0-30,0,
FR13,A1,Sx,L,31-130,6,
FR13,A1,Sx,D,0-30,1,
FR13,A1,Sx,D,31-130,0,
FR13,A1,At,L,0-30,0,
FR13,A1,At,L,31-130,0,
FR13,A1,At,D,0-30,0,
FR13,A1,At,D,31-130,3,
FR13,A1,Bl,L,0-30,4,
FR13,A1,Bl,L,31-130,1,
FR13,A1,Bl,D,0-30,0,
FR13,A1,Bl,D,31-130,0,
FR13,A1,Ac,L,0-30,0,
FR13,A1,Ac,L,31-130,0,
FR13,A1,Ac,D,0-30,0,
FR13,A1,Ac,D,31-130,0,
FR13,A1,Fd,L,0-30,0,
FR13,A1,Fd,L,31-130,1,
FR13,A1,Fd,D,0-30,1,
FR13,A1,Fd,D,31-130,0,
FR13,A1,Ep,L,0-30,0,
FR13,A1,Ep,L,31-130,0,
FR13,A1,Ep,D,0-30,0,
FR13,A1,Ep,D,31-130,0,
FR13,A1,Lw,L,0-30,0,
FR13,A1,Lw,L,31-130,0,
FR13,A1,Lw,D,0-30,0,
FR13,A1,Lw,D,31-130,0,
FR13,C1,Pl,L,0-30,0,
FR13,C1,Pl,L,31-130,0,
FR13,C1,Pl,D,0-30,0,
FR13,C1,Pl,D,31-130,0,
FR13,C1,Sx,L,0-30,0,
FR13,C1,Sx,L,31-130,3,
FR13,C1,Sx,D,0-30,0,
FR13,C1,Sx,D,31-130,0,
FR13,C1,At,L,0-30,0,
FR13,C1,At,L,31-130,1,
FR13,C1,At,D,0-30,0,
FR13,C1,At,D,31-130,0,
FR13,C1,Bl,L,0-30,2,
FR13,C1,Bl,L,31-130,1,
FR13,C1,Bl,D,0-30,0,
FR13,C1,Bl,D,31-130,0,
FR13,C1,Ac,L,0-30,0,
FR13,C1,Ac,L,31-130,1,
FR13,C1,Ac,D,0-30,0,
FR13,C1,Ac,D,31-130,0,
FR13,C1,Fd,L,0-30,0,
FR13,C1,Fd,L,31-130,0,
FR13,C1,Fd,D,0-30,0,
FR13,C1,Fd,D,31-130,0,
FR13,C1,Ep,L,0-30,0,
FR13,C1,Ep,L,31-130,0,
FR13,C1,Ep,D,0-30,0,
FR13,C1,Ep,D,31-130,0,
FR13,C1,Lw,L,0-30,0,
FR13,C1,Lw,L,31-130,0,
FR13,C1,Lw,D,0-30,0,
FR13,C1,Lw,D,31-130,0,
FR14,A1,Pl,L,0-30,0,
FR14,A1,Pl,L,31-130,0,
FR14,A1,Pl,D,0-30,0,
FR14,A1,Pl,D,31-130,0,
FR14,A1,Sx,L,0-30,0,
FR14,A1,Sx,L,31-130,0,
FR14,A1,Sx,D,0-30,0,
FR14,A1,Sx,D,31-130,0,
FR14,A1,At,L,0-30,0,
FR14,A1,At,L,31-130,0,
FR14,A1,At,D,0-30,0,
FR14,A1,At,D,31-130,0,
FR14,A1,Bl,L,0-30,26,
FR14,A1,Bl,L,31-130,0,
FR14,A1,Bl,D,0-30,0,
FR14,A1,Bl,D,31-130,0,
FR14,A1,Ac,L,0-30,0,
FR14,A1,Ac,L,31-130,0,
FR14,A1,Ac,D,0-30,0,
FR14,A1,Ac,D,31-130,0,
FR14,A1,Fd,L,0-30,0,
FR14,A1,Fd,L,31-130,0,
FR14,A1,Fd,D,0-30,0,
FR14,A1,Fd,D,31-130,0,
FR14,A1,Ep,L,0-30,0,
FR14,A1,Ep,L,31-130,0,
FR14,A1,Ep,D,0-30,0,
FR14,A1,Ep,D,31-130,0,
FR14,A1,Lw,L,0-30,0,
FR14,A1,Lw,L,31-130,0,
FR14,A1,Lw,D,0-30,0,
FR14,A1,Lw,D,31-130,0,
FR14,C1,Pl,L,0-30,0,
FR14,C1,Pl,L,31-130,0,
FR14,C1,Pl,D,0-30,0,
FR14,C1,Pl,D,31-130,0,
FR14,C1,Sx,L,0-30,0,
FR14,C1,Sx,L,31-130,0,
FR14,C1,Sx,D,0-30,0,
FR14,C1,Sx,D,31-130,0,
FR14,C1,At,L,0-30,0,
FR14,C1,At,L,31-130,0,
FR14,C1,At,D,0-30,0,
FR14,C1,At,D,31-130,0,
FR14,C1,Bl,L,0-30,14,
FR14,C1,Bl,L,31-130,0,
FR14,C1,Bl,D,0-30,0,
FR14,C1,Bl,D,31-130,0,
FR14,C1,Ac,L,0-30,0,
FR14,C1,Ac,L,31-130,0,
FR14,C1,Ac,D,0-30,0,
FR14,C1,Ac,D,31-130,0,
FR14,C1,Fd,L,0-30,0,
FR14,C1,Fd,L,31-130,0,
FR14,C1,Fd,D,0-30,0,
FR14,C1,Fd,D,31-130,0,
FR14,C1,Ep,L,0-30,0,
FR14,C1,Ep,L,31-130,0,
FR14,C1,Ep,D,0-30,0,
FR14,C1,Ep,D,31-130,0,
FR14,C1,Lw,L,0-30,0,
FR14,C1,Lw,L,31-130,0,
FR14,C1,Lw,D,0-30,0,
FR14,C1,Lw,D,31-130,0,
FR15,A1,Pl,L,0-30,0,
FR15,A1,Pl,L,31-130,0,
FR15,A1,Pl,D,0-30,0,
FR15,A1,Pl,D,31-130,0,
FR15,A1,Sx,L,0-30,0,
FR15,A1,Sx,L,31-130,0,
FR15,A1,Sx,D,0-30,0,
FR15,A1,Sx,D,31-130,0,
FR15,A1,At,L,0-30,2,
FR15,A1,At,L,31-130,9,
FR15,A1,At,D,0-30,0,
FR15,A1,At,D,31-130,0,
FR15,A1,Bl,L,0-30,0,
FR15,A1,Bl,L,31-130,2,
FR15,A1,Bl,D,0-30,0,
FR15,A1,Bl,D,31-130,0,
FR15,A1,Ac,L,0-30,0,
FR15,A1,Ac,L,31-130,0,
FR15,A1,Ac,D,0-30,0,
FR15,A1,Ac,D,31-130,0,
FR15,A1,Fd,L,0-30,0,
FR15,A1,Fd,L,31-130,0,
FR15,A1,Fd,D,0-30,0,
FR15,A1,Fd,D,31-130,0,
FR15,A1,Ep,L,0-30,0,
FR15,A1,Ep,L,31-130,0,
FR15,A1,Ep,D,0-30,0,
FR15,A1,Ep,D,31-130,0,
FR15,A1,Lw,L,0-30,0,
FR15,A1,Lw,L,31-130,0,
FR15,A1,Lw,D,0-30,0,
FR15,A1,Lw,D,31-130,0,
FR15,C1,Pl,L,0-30,0,
FR15,C1,Pl,L,31-130,0,
FR15,C1,Pl,D,0-30,0,
FR15,C1,Pl,D,31-130,0,
FR15,C1,Sx,L,0-30,0,
FR15,C1,Sx,L,31-130,1,
FR15,C1,Sx,D,0-30,0,
FR15,C1,Sx,D,31-130,0,
FR15,C1,At,L,0-30,0,
FR15,C1,At,L,31-130,0,
FR15,C1,At,D,0-30,0,
FR15,C1,At,D,31-130,0,
FR15,C1,Bl,L,0-30,0,
FR15,C1,Bl,L,31-130,3,
FR15,C1,Bl,D,0-30,0,
FR15,C1,Bl,D,31-130,0,
FR15,C1,Ac,L,0-30,0,
FR15,C1,Ac,L,31-130,0,
FR15,C1,Ac,D,0-30,0,
FR15,C1,Ac,D,31-130,0,
FR15,C1,Fd,L,0-30,0,
FR15,C1,Fd,L,31-130,0,
FR15,C1,Fd,D,0-30,0,
FR15,C1,Fd,D,31-130,0,
FR15,C1,Ep,L,0-30,0,
FR15,C1,Ep,L,31-130,0,
FR15,C1,Ep,D,0-30,0,
FR15,C1,Ep,D,31-130,0,
FR15,C1,Lw,L,0-30,0,
FR15,C1,Lw,L,31-130,0,
FR15,C1,Lw,D,0-30,0,
FR15,C1,Lw,D,31-130,0,
FR16,A1,Pl,L,0-30,0,
FR16,A1,Pl,L,31-130,0,
FR16,A1,Pl,D,0-30,0,
FR16,A1,Pl,D,31-130,0,
FR16,A1,Sx,L,0-30,1,
FR16,A1,Sx,L,31-130,0,
FR16,A1,Sx,D,0-30,0,
FR16,A1,Sx,D,31-130,0,
FR16,A1,At,L,0-30,0,
FR16,A1,At,L,31-130,0,
FR16,A1,At,D,0-30,0,
FR16,A1,At,D,31-130,0,
FR16,A1,Bl,L,0-30,3,
FR16,A1,Bl,L,31-130,1,
FR16,A1,Bl,D,0-30,0,
FR16,A1,Bl,D,31-130,0,
FR16,A1,Ac,L,0-30,0,
FR16,A1,Ac,L,31-130,0,
FR16,A1,Ac,D,0-30,0,
FR16,A1,Ac,D,31-130,0,
FR16,A1,Fd,L,0-30,0,
FR16,A1,Fd,L,31-130,0,
FR16,A1,Fd,D,0-30,0,
FR16,A1,Fd,D,31-130,0,
FR16,A1,Ep,L,0-30,0,
FR16,A1,Ep,L,31-130,0,
FR16,A1,Ep,D,0-30,0,
FR16,A1,Ep,D,31-130,0,
FR16,A1,Lw,L,0-30,0,
FR16,A1,Lw,L,31-130,0,
FR16,A1,Lw,D,0-30,0,
FR16,A1,Lw,D,31-130,0,
FR16,C1,Pl,L,0-30,0,
FR16,C1,Pl,L,31-130,0,
FR16,C1,Pl,D,0-30,0,
FR16,C1,Pl,D,31-130,0,
FR16,C1,Sx,L,0-30,0,
FR16,C1,Sx,L,31-130,2,
FR16,C1,Sx,D,0-30,0,
FR16,C1,Sx,D,31-130,0,
FR16,C1,At,L,0-30,0,
FR16,C1,At,L,31-130,0,
FR16,C1,At,D,0-30,0,
FR16,C1,At,D,31-130,0,
FR16,C1,Bl,L,0-30,0,
FR16,C1,Bl,L,31-130,0,
FR16,C1,Bl,D,0-30,0,
FR16,C1,Bl,D,31-130,0,
FR16,C1,Ac,L,0-30,0,
FR16,C1,Ac,L,31-130,0,
FR16,C1,Ac,D,0-30,0,
FR16,C1,Ac,D,31-130,0,
FR16,C1,Fd,L,0-30,0,
FR16,C1,Fd,L,31-130,0,
FR16,C1,Fd,D,0-30,0,
FR16,C1,Fd,D,31-130,0,
FR16,C1,Ep,L,0-30,0,
FR16,C1,Ep,L,31-130,0,
FR16,C1,Ep,D,0-30,0,
FR16,C1,Ep,D,31-130,0,
FR16,C1,Lw,L,0-30,0,
FR16,C1,Lw,L,31-130,0,
FR16,C1,Lw,D,0-30,0,
FR16,C1,Lw,D,31-130,0,
FR17,A1,Pl,L,0-30,0,
FR17,A1,Pl,L,31-130,0,
FR17,A1,Pl,D,0-30,0,
FR17,A1,Pl,D,31-130,0,
FR17,A1,Sx,L,0-30,0,
FR17,A1,Sx,L,31-130,1,
FR17,A1,Sx,D,0-30,0,
FR17,A1,Sx,D,31-130,1,
FR17,A1,At,L,0-30,0,
FR17,A1,At,L,31-130,0,
FR17,A1,At,D,0-30,0,
FR17,A1,At,D,31-130,0,
FR17,A1,Bl,L,0-30,0,
FR17,A1,Bl,L,31-130,0,
FR17,A1,Bl,D,0-30,0,
FR17,A1,Bl,D,31-130,0,
FR17,A1,Ac,L,0-30,0,
FR17,A1,Ac,L,31-130,0,
FR17,A1,Ac,D,0-30,0,
FR17,A1,Ac,D,31-130,0,
FR17,A1,Fd,L,0-30,0,
FR17,A1,Fd,L,31-130,0,
FR17,A1,Fd,D,0-30,0,
FR17,A1,Fd,D,31-130,0,
FR17,A1,Ep,L,0-30,0,
FR17,A1,Ep,L,31-130,0,
FR17,A1,Ep,D,0-30,0,
FR17,A1,Ep,D,31-130,0,
FR17,A1,Lw,L,0-30,0,
FR17,A1,Lw,L,31-130,0,
FR17,A1,Lw,D,0-30,0,
FR17,A1,Lw,D,31-130,0,
FR18,A1,Pl,L,0-30,0,
FR18,A1,Pl,L,31-130,1,
FR18,A1,Pl,D,0-30,0,
FR18,A1,Pl,D,31-130,0,
FR18,A1,Sx,L,0-30,155,
FR18,A1,Sx,L,31-130,48,
FR18,A1,Sx,D,0-30,0,
FR18,A1,Sx,D,31-130,0,
FR18,A1,At,L,0-30,0,
FR18,A1,At,L,31-130,1,
FR18,A1,At,D,0-30,0,
FR18,A1,At,D,31-130,1,
FR18,A1,Bl,L,0-30,18,
FR18,A1,Bl,L,31-130,15,
FR18,A1,Bl,D,0-30,0,
FR18,A1,Bl,D,31-130,0,
FR18,A1,Ac,L,0-30,0,
FR18,A1,Ac,L,31-130,0,
FR18,A1,Ac,D,0-30,0,
FR18,A1,Ac,D,31-130,0,
FR18,A1,Fd,L,0-30,0,
FR18,A1,Fd,L,31-130,0,
FR18,A1,Fd,D,0-30,0,
FR18,A1,Fd,D,31-130,0,
FR18,A1,Ep,L,0-30,0,
FR18,A1,Ep,L,31-130,0,
FR18,A1,Ep,D,0-30,0,
FR18,A1,Ep,D,31-130,0,
FR18,A1,Lw,L,0-30,0,
FR18,A1,Lw,L,31-130,0,
FR18,A1,Lw,D,0-30,0,
