PlotID,Sub-Plot,Species,Live/Dead,Height_class(cm),Tally,Notes
FR18,A1,Lw,D,31-130,0,
FR19,A1,Pl,L,0-30,0,
FR19,A1,Pl,L,31-130,0,
FR19,A1,Pl,D,0-30,0,
FR19,A1,Pl,D,31-130,5,
FR19,A1,Sx,L,0-30,0,
FR19,A1,Sx,L,31-130,1,
FR19,A1,Sx,D,0-30,0,
FR19,A1,Sx,D,31-130,0,
FR19,A1,At,L,0-30,0,
FR19,A1,At,L,31-130,0,
FR19,A1,At,D,0-30,0,
FR19,A1,At,D,31-130,1,
FR19,A1,Bl,L,0-30,0,
FR19,A1,Bl,L,31-130,0,
FR19,A1,Bl,D,0-30,0,
FR19,A1,Bl,D,31-130,0,
FR19,A1,Ac,L,0-30,0,
FR19,A1,Ac,L,31-130,0,
FR19,A1,Ac,D,0-30,0,
FR19,A1,Ac,D,31-130,0,
FR19,A1,Fd,L,0-30,0,
FR19,A1,Fd,L,31-130,0,
FR19,A1,Fd,D,0-30,0,
FR19,A1,Fd,D,31-130,0,
FR19,A1,Ep,L,0-30,0,
FR19,A1,Ep,L,31-130,0,
FR19,A1,Ep,D,0-30,0,
FR19,A1,Ep,D,31-130,0,
FR19,A1,Lw,L,0-30,0,
FR19,A1,Lw,L,31-130,0,
FR19,A1,Lw,D,0-30,0,
FR19,A1,Lw,D,31-130,0,
FR19,C1,Pl,L,0-30,1,
FR19,C1,Pl,L,31-130,0,
FR19,C1,Pl,D,0-30,0,
FR19,C1,Pl,D,31-130,0,
FR19,C1,Sx,L,0-30,0,
FR19,C1,Sx,L,31-130,0,
FR19,C1,Sx,D,0-30,0,
FR19,C1,Sx,D,31-130,0,
FR19,C1,At,L,0-30,0,
FR19,C1,At,L,31-130,0,
FR19,C1,At,D,0-30,0,
FR19,C1,At,D,31-130,0,
FR19,C1,Bl,L,0-30,0,
FR19,C1,Bl,L,31-130,0,
FR19,C1,Bl,D,0-30,0,
FR19,C1,Bl,D,31-130,0,
FR19,C1,Ac,L,0-30,0,
FR19,C1,Ac,L,31-130,0,
FR19,C1,Ac,D,0-30,0,
FR19,C1,Ac,D,31-130,0,
FR19,C1,Fd,L,0-30,0,
FR19,C1,Fd,L,31-130,0,
FR19,C1,Fd,D,0-30,0,
FR19,C1,Fd,D,31-130,0,
FR19,C1,Ep,L,0-30,0,
FR19,C1,Ep,L,31-130,0,
FR19,C1,Ep,D,0-30,0,
FR19,C1,Ep,D,31-130,0,
FR19,C1,Lw,L,0-30,0,
FR19,C1,Lw,L,31-130,0,
FR19,C1,Lw,D,0-30,0,
FR19,C1,Lw,D,31-130,0,
FR20,A1,Pl,L,0-30,0,
FR20,A1,Pl,L,31-130,0,
FR20,A1,Pl,D,0-30,0,
FR20,A1,Pl,D,31-130,0,
FR20,A1,Sx,L,0-30,0,
FR20,A1,Sx,L,31-130,0,
FR20,A1,Sx,D,0-30,0,
FR20,A1,Sx,D,31-130,0,
FR20,A1,At,L,0-30,0,
FR20,A1,At,L,31-130,3,
FR20,A1,At,D,0-30,0,
FR20,A1,At,D,31-130,0,
FR20,A1,Bl,L,0-30,0,
FR20,A1,Bl,L,31-130,1,
FR20,A1,Bl,D,0-30,0,
FR20,A1,Bl,D,31-130,0,
FR20,A1,Ac,L,0-30,0,
FR20,A1,Ac,L,31-130,0,
FR20,A1,Ac,D,0-30,0,
FR20,A1,Ac,D,31-130,0,
FR20,A1,Fd,L,0-30,0,
FR20,A1,Fd,L,31-130,0,
FR20,A1,Fd,D,0-30,0,
FR20,A1,Fd,D,31-130,0,
FR20,A1,Ep,L,0-30,0,
FR20,A1,Ep,L,31-130,0,
FR20,A1,Ep,D,0-30,0,
FR20,A1,Ep,D,31-130,0,
FR20,A1,Lw,L,0-30,0,
FR20,A1,Lw,L,31-130,0,
FR20,A1,Lw,D,0-30,0,
FR20,A1,Lw,D,31-130,0,
FR20,C1,Pl,L,0-30,0,
FR20,C1,Pl,L,31-130,0,
FR20,C1,Pl,D,0-30,0,
FR20,C1,Pl,D,31-130,0,
FR20,C1,Sx,L,0-30,0,
FR20,C1,Sx,L,31-130,0,
FR20,C1,Sx,D,0-30,0,
FR20,C1,Sx,D,31-130,0,
FR20,C1,At,L,0-30,0,
FR20,C1,At,L,31-130,0,
FR20,C1,At,D,0-30,0,
FR20,C1,At,D,31-130,0,
FR20,C1,Bl,L,0-30,0,
FR20,C1,Bl,L,31-130,0,
FR20,C1,Bl,D,0-30,0,
FR20,C1,Bl,D,31-130,0,
FR20,C1,Ac,L,0-30,0,
FR20,C1,Ac,L,31-130,0,
FR20,C1,Ac,D,0-30,0,
FR20,C1,Ac,D,31-130,0,
FR20,C1,Fd,L,0-30,0,
FR20,C1,Fd,L,31-130,0,
FR20,C1,Fd,D,0-30,0,
FR20,C1,Fd,D,31-130,0,
FR20,C1,Ep,L,0-30,0,
FR20,C1,Ep,L,31-130,0,
FR20,C1,Ep,D,0-30,0,
FR20,C1,Ep,D,31-130,0,
FR20,C1,Lw,L,0-30,0,
FR20,C1,Lw,L,31-130,0,
FR20,C1,Lw,D,0-30,0,
FR20,C1,Lw,D,31-130,0,
FR21,A1,Pl,L,0-30,1,
FR21,A1,Pl,L,31-130,1,
FR21,A1,Pl,D,0-30,0,
FR21,A1,Pl,D,31-130,0,
FR21,A1,Sx,L,0-30,1,
FR21,A1,Sx,L,31-130,8,
FR21,A1,Sx,D,0-30,0,
FR21,A1,Sx,D,31-130,0,
FR21,A1,At,L,0-30,0,
FR21,A1,At,L,31-130,0,
FR21,A1,At,D,0-30,0,
FR21,A1,At,D,31-130,0,
FR21,A1,Bl,L,0-30,4,
FR21,A1,Bl,L,31-130,0,
FR21,A1,Bl,D,0-30,0,
FR21,A1,Bl,D,31-130,0,
FR21,A1,Ac,L,0-30,1,
FR21,A1,Ac,L,31-130,0,
FR21,A1,Ac,D,0-30,0,
FR21,A1,Ac,D,31-130,0,
FR21,A1,Fd,L,0-30,0,
FR21,A1,Fd,L,31-130,0,
FR21,A1,Fd,D,0-30,0,
FR21,A1,Fd,D,31-130,0,
FR21,A1,Ep,L,0-30,0,
FR21,A1,Ep,L,31-130,0,
FR21,A1,Ep,D,0-30,0,
FR21,A1,Ep,D,31-130,0,
FR21,A1,Lw,L,0-30,0,
FR21,A1,Lw,L,31-130,1,
FR21,A1,Lw,D,0-30,0,
FR21,A1,Lw,D,31-130,0,
FR21,C1,Pl,L,0-30,0,
FR21,C1,Pl,L,31-130,1,
FR21,C1,Pl,D,0-30,0,
FR21,C1,Pl,D,31-130,0,
FR21,C1,Sx,L,0-30,0,
FR21,C1,Sx,L,31-130,2,
FR21,C1,Sx,D,0-30,0,
FR21,C1,Sx,D,31-130,0,
FR21,C1,At,L,0-30,0,
FR21,C1,At,L,31-130,0,
FR21,C1,At,D,0-30,0,
FR21,C1,At,D,31-130,0,
FR21,C1,Bl,L,0-30,0,
FR21,C1,Bl,L,31-130,0,
FR21,C1,Bl,D,0-30,0,
FR21,C1,Bl,D,31-130,0,
FR21,C1,Ac,L,0-30,0,
FR21,C1,Ac,L,31-130,0,
FR21,C1,Ac,D,0-30,0,
FR21,C1,Ac,D,31-130,0,
FR21,C1,Fd,L,0-30,0,
FR21,C1,Fd,L,31-130,0,
FR21,C1,Fd,D,0-30,0,
FR21,C1,Fd,D,31-130,0,
FR21,C1,Ep,L,0-30,0,
FR21,C1,Ep,L,31-130,0,
FR21,C1,Ep,D,0-30,0,
FR21,C1,Ep,D,31-130,0,
FR21,C1,Lw,L,0-30,0,
FR21,C1,Lw,L,31-130,0,
FR21,C1,Lw,D,0-30,0,
FR21,C1,Lw,D,31-130,0,
FR21,C2,Pl,L,0-30,0,
FR21,C2,Pl,L,31-130,0,
FR21,C2,Pl,D,0-30,0,
FR21,C2,Pl,D,31-130,0,
FR21,C2,Sx,L,0-30,1,
FR21,C2,Sx,L,31-130,4,
FR21,C2,Sx,D,0-30,0,
FR21,C2,Sx,D,31-130,0,
FR21,C2,At,L,0-30,0,
FR21,C2,At,L,31-130,0,
FR21,C2,At,D,0-30,0,
FR21,C2,At,D,31-130,0,
FR21,C2,Bl,L,0-30,1,
FR21,C2,Bl,L,31-130,0,
FR21,C2,Bl,D,0-30,0,
FR21,C2,Bl,D,31-130,0,
FR21,C2,Ac,L,0-30,0,
FR21,C2,Ac,L,31-130,1,
FR21,C2,Ac,D,0-30,0,
FR21,C2,Ac,D,31-130,0,
FR21,C2,Fd,L,0-30,0,
FR21,C2,Fd,L,31-130,0,
FR21,C2,Fd,D,0-30,0,
FR21,C2,Fd,D,31-130,0,
FR21,C2,Ep,L,0-30,0,
FR21,C2,Ep,L,31-130,0,
FR21,C2,Ep,D,0-30,0,
FR21,C2,Ep,D,31-130,0,
FR21,C2,Lw,L,0-30,0,
FR21,C2,Lw,L,31-130,0,
FR21,C2,Lw,D,0-30,0,
FR21,C2,Lw,D,31-130,0,
FR21,C3,Pl,L,0-30,0,
FR21,C3,Pl,L,31-130,0,
FR21,C3,Pl,D,0-30,0,
FR21,C3,Pl,D,31-130,0,
FR21,C3,Sx,L,0-30,0,
FR21,C3,Sx,L,31-130,5,
FR21,C3,Sx,D,0-30,0,
FR21,C3,Sx,D,31-130,0,
FR21,C3,At,L,0-30,0,
FR21,C3,At,L,31-130,0,
FR21,C3,At,D,0-30,0,
FR21,C3,At,D,31-130,0,
FR21,C3,Bl,L,0-30,0,
FR21,C3,Bl,L,31-130,0,
FR21,C3,Bl,D,0-30,0,
FR21,C3,Bl,D,31-130,0,
FR21,C3,Ac,L,0-30,0,
FR21,C3,Ac,L,31-130,0,
FR21,C3,Ac,D,0-30,0,
FR21,C3,Ac,D,31-130,0,
FR21,C3,Fd,L,0-30,0,
FR21,C3,Fd,L,31-130,0,
FR21,C3,Fd,D,0-30,0,
FR21,C3,Fd,D,31-130,0,
FR21,C3,Ep,L,0-30,0,
FR21,C3,Ep,L,31-130,0,
FR21,C3,Ep,D,0-30,0,
FR21,C3,Ep,D,31-130,0,
FR21,C3,Lw,L,0-30,0,
FR21,C3,Lw,L,31-130,0,
FR21,C3,Lw,D,0-30,0,
FR21,C3,Lw,D,31-130,0,
FR22,A1,Pl,L,0-30,10,
FR22,A1,Pl,L,31-130,23,
FR22,A1,Pl,D,0-30,0,
FR22,A1,Pl,D,31-130,18,
FR22,A1,Sx,L,0-30,3,
FR22,A1,Sx,L,31-130,3,
FR22,A1,Sx,D,0-30,0,
FR22,A1,Sx,D,31-130,0,
FR22,A1,At,L,0-30,0,
FR22,A1,At,L,31-130,0,
FR22,A1,At,D,0-30,0,
FR22,A1,At,D,31-130,0,
FR22,A1,Bl,L,0-30,1,
FR22,A1,Bl,L,31-130,1,
FR22,A1,Bl,D,0-30,0,
FR22,A1,Bl,D,31-130,0,
FR22,A1,Ac,L,0-30,0,
FR22,A1,Ac,L,31-130,4,
FR22,A1,Ac,D,0-30,0,
FR22,A1,Ac,D,31-130,0,
FR22,A1,Fd,L,0-30,0,
FR22,A1,Fd,L,31-130,0,
FR22,A1,Fd,D,0-30,0,
FR22,A1,Fd,D,31-130,0,
FR22,A1,Ep,L,0-30,0,
FR22,A1,Ep,L,31-130,0,
FR22,A1,Ep,D,0-30,0,
FR22,A1,Ep,D,31-130,0,
FR22,A1,Lw,L,0-30,0,
FR22,A1,Lw,L,31-130,0,
FR22,A1,Lw,D,0-30,0,
FR22,A1,Lw,D,31-130,0,
FR23,A1,Pl,L,0-30,0,
FR23,A1,Pl,L,31-130,0,
FR23,A1,Pl,D,0-30,0,
FR23,A1,Pl,D,31-130,0,
FR23,A1,Sx,L,0-30,0,
FR23,A1,Sx,L,31-130,0,
FR23,A1,Sx,D,0-30,0,
FR23,A1,Sx,D,31-130,1,
FR23,A1,At,L,0-30,0,
FR23,A1,At,L,31-130,0,
FR23,A1,At,D,0-30,0,
FR23,A1,At,D,31-130,0,
FR23,A1,Bl,L,0-30,4,
FR23,A1,Bl,L,31-130,2,
FR23,A1,Bl,D,0-30,0,
FR23,A1,Bl,D,31-130,0,
FR23,A1,Ac,L,0-30,0,
FR23,A1,Ac,L,31-130,0,
FR23,A1,Ac,D,0-30,0,
FR23,A1,Ac,D,31-130,0,
FR23,A1,Fd,L,0-30,0,
FR23,A1,Fd,L,31-130,0,
FR23,A1,Fd,D,0-30,0,
FR23,A1,Fd,D,31-130,0,
FR23,A1,Ep,L,0-30,0,
FR23,A1,Ep,L,31-130,0,
FR23,A1,Ep,D,0-30,0,
FR23,A1,Ep,D,31-130,0,
FR23,A1,Lw,L,0-30,0,
FR23,A1,Lw,L,31-130,0,
FR23,A1,Lw,D,0-30,0,
FR23,A1,Lw,D,31-130,0,
FR23,C1,Pl,L,0-30,0,
FR23,C1,Pl,L,31-130,0,
FR23,C1,Pl,D,0-30,0,
FR23,C1,Pl,D,31-130,0,
FR23,C1,Sx,L,0-30,0,
FR23,C1,Sx,L,31-130,0,
FR23,C1,Sx,D,0-30,0,
FR23,C1,Sx,D,31-130,0,
FR23,C1,At,L,0-30,0,
FR23,C1,At,L,31-130,0,
FR23,C1,At,D,0-30,0,
FR23,C1,At,D,31-130,0,
FR23,C1,Bl,L,0-30,0,
FR23,C1,Bl,L,31-130,0,
FR23,C1,Bl,D,0-30,0,
FR23,C1,Bl,D,31-130,0,
FR23,C1,Ac,L,0-30,0,
FR23,C1,Ac,L,31-130,0,
FR23,C1,Ac,D,0-30,0,
FR23,C1,Ac,D,31-130,0,
FR23,C1,Fd,L,0-30,0,
FR23,C1,Fd,L,31-130,0,
FR23,C1,Fd,D,0-30,0,
FR23,C1,Fd,D,31-130,0,
FR23,C1,Ep,L,0-30,0,
FR23,C1,Ep,L,31-130,0,
FR23,C1,Ep,D,0-30,0,
FR23,C1,Ep,D,31-130,0,
FR23,C1,Lw,L,0-30,0,
FR23,C1,Lw,L,31-130,0,
FR23,C1,Lw,D,0-30,0,
FR23,C1,Lw,D,31-130,0,
FR23,C2,Pl,L,0-30,0,
FR23,C2,Pl,L,31-130,0,
FR23,C2,Pl,D,0-30,0,
FR23,C2,Pl,D,31-130,0,
FR23,C2,Sx,L,0-30,0,
FR23,C2,Sx,L,31-130,2,
FR23,C2,Sx,D,0-30,0,
FR23,C2,Sx,D,31-130,0,
FR23,C2,At,L,0-30,0,
FR23,C2,At,L,31-130,0,
FR23,C2,At,D,0-30,0,
FR23,C2,At,D,31-130,0,
FR23,C2,Bl,L,0-30,1,
FR23,C2,Bl,L,31-130,2,
FR23,C2,Bl,D,0-30,0,
FR23,C2,Bl,D,31-130,0,
FR23,C2,Ac,L,0-30,0,
FR23,C2,Ac,L,31-130,0,
FR23,C2,Ac,D,0-30,0,
FR23,C2,Ac,D,31-130,0,
FR23,C2,Fd,L,0-30,0,
FR23,C2,Fd,L,31-130,0,
FR23,C2,Fd,D,0-30,0,
FR23,C2,Fd,D,31-130,0,
FR23,C2,Ep,L,0-30,0,
FR23,C2,Ep,L,31-130,0,
FR23,C2,Ep,D,0-30,0,
FR23,C2,Ep,D,31-130,0,
FR23,C2,Lw,L,0-30,0,
FR23,C2,Lw,L,31-130,0,
FR23,C2,Lw,D,0-30,0,
FR23,C2,Lw,D,31-130,0,
FR24,A1,Pl,L,0-30,0,
FR24,A1,Pl,L,31-130,1,
FR24,A1,Pl,D,0-30,0,
FR24,A1,Pl,D,31-130,0,
FR24,A1,Sx,L,0-30,0,
FR24,A1,Sx,L,31-130,0,
FR24,A1,Sx,D,0-30,0,
FR24,A1,Sx,D,31-130,0,
FR24,A1,At,L,0-30,1,
FR24,A1,At,L,31-130,25,
FR24,A1,At,D,0-30,0,
FR24,A1,At,D,31-130,0,
FR24,A1,Bl,L,0-30,0,
FR24,A1,Bl,L,31-130,0,
FR24,A1,Bl,D,0-30,0,
FR24,A1,Bl,D,31-130,0,
FR24,A1,Ac,L,0-30,0,
FR24,A1,Ac,L,31-130,0,
FR24,A1,Ac,D,0-30,0,
FR24,A1,Ac,D,31-130,0,
FR24,A1,Fd,L,0-30,0,
FR24,A1,Fd,L,31-130,0,
FR24,A1,Fd,D,0-30,0,
FR24,A1,Fd,D,31-130,0,
FR24,A1,Ep,L,0-30,0,
FR24,A1,Ep,L,31-130,0,
FR24,A1,Ep,D,0-30,0,
FR24,A1,Ep,D,31-130,0,
FR24,A1,Lw,L,0-30,0,
FR24,A1,Lw,L,31-130,0,
FR24,A1,Lw,D,0-30,0,
FR24,A1,Lw,D,31-130,0,
FR24,C1,Pl,L,0-30,0,
FR24,C1,Pl,L,31-130,0,
FR24,C1,Pl,D,0-30,0,
FR24,C1,Pl,D,31-130,0,
FR24,C1,Sx,L,0-30,0,
FR24,C1,Sx,L,31-130,4,
FR24,C1,Sx,D,0-30,0,
FR24,C1,Sx,D,31-130,0,
FR24,C1,At,L,0-30,0,
FR24,C1,At,L,31-130,3,
FR24,C1,At,D,0-30,0,
FR24,C1,At,D,31-130,1,
FR24,C1,Bl,L,0-30,0,
FR24,C1,Bl,L,31-130,0,
FR24,C1,Bl,D,0-30,0,
FR24,C1,Bl,D,31-130,0,
FR24,C1,Ac,L,0-30,0,
FR24,C1,Ac,L,31-130,0,
FR24,C1,Ac,D,0-30,0,
FR24,C1,Ac,D,31-130,0,
FR24,C1,Fd,L,0-30,0,
FR24,C1,Fd,L,31-130,0,
FR24,C1,Fd,D,0-30,0,
FR24,C1,Fd,D,31-130,0,
FR24,C1,Ep,L,0-30,0,
FR24,C1,Ep,L,31-130,0,
FR24,C1,Ep,D,0-30,0,
FR24,C1,Ep,D,31-130,0,
FR24,C1,Lw,L,0-30,0,
FR24,C1,Lw,L,31-130,0,
FR24,C1,Lw,D,0-30,0,
FR24,C1,Lw,D,31-130,0,
FR25,A1,Pl,L,0-30,0,
FR25,A1,Pl,L,31-130,1,
FR25,A1,Pl,D,0-30,0,
FR25,A1,Pl,D,31-130,0,
FR25,A1,Sx,L,0-30,0,
FR25,A1,Sx,L,31-130,0,
FR25,A1,Sx,D,0-30,0,
FR25,A1,Sx,D,31-130,0,
FR25,A1,At,L,0-30,0,
FR25,A1,At,L,31-130,0,
FR25,A1,At,D,0-30,0,
FR25,A1,At,D,31-130,0,
FR25,A1,Bl,L,0-30,0,
FR25,A1,Bl,L,31-130,0,
FR25,A1,Bl,D,0-30,0,
FR25,A1,Bl,D,31-130,0,
FR25,A1,Ac,L,0-30,0,
FR25,A1,Ac,L,31-130,0,
FR25,A1,Ac,D,0-30,0,
FR25,A1,Ac,D,31-130,0,
FR25,A1,Fd,L,0-30,0,
FR25,A1,Fd,L,31-130,0,
FR25,A1,Fd,D,0-30,0,
FR25,A1,Fd,D,31-130,0,
FR25,A1,Ep,L,0-30,0,
FR25,A1,Ep,L,31-130,0,
FR25,A1,Ep,D,0-30,0,
FR25,A1,Ep,D,31-130,0,
FR25,A1,Lw,L,0-30,0,
FR25,A1,Lw,L,31-130,0,
FR25,A1,Lw,D,0-30,0,
FR25,A1,Lw,D,31-130,0,
FR25,C1,Pl,L,0-30,0,
FR25,C1,Pl,L,31-130,0,
FR25,C1,Pl,D,0-30,0,
FR25,C1,Pl,D,31-130,0,
FR25,C1,Sx,L,0-30,0,
FR25,C1,Sx,L,31-130,0,
FR25,C1,Sx,D,0-30,0,
FR25,C1,Sx,D,31-130,0,
FR25,C1,At,L,0-30,0,
FR25,C1,At,L,31-130,3,
FR25,C1,At,D,0-30,0,
FR25,C1,At,D,31-130,1,
FR25,C1,Bl,L,0-30,0,
FR25,C1,Bl,L,31-130,0,
FR25,C1,Bl,D,0-30,0,
FR25,C1,Bl,D,31-130,0,
FR25,C1,Ac,L,0-30,0,
FR25,C1,Ac,L,31-130,0,
FR25,C1,Ac,D,0-30,0,
FR25,C1,Ac,D,31-130,0,
FR25,C1,Fd,L,0-30,0,
FR25,C1,Fd,L,31-130,0,
FR25,C1,Fd,D,0-30,0,
FR25,C1,Fd,D,31-130,0,
FR25,C1,Ep,L,0-30,0,
FR25,C1,Ep,L,31-130,0,
FR25,C1,Ep,D,0-30,0,
FR25,C1,Ep,D,31-130,0,
FR25,C1,Lw,L,0-30,0,
FR25,C1,Lw,L,31-130,0,
FR25,C1,Lw,D,0-30,0,
FR25,C1,Lw,D,31-130,0,
FR26,A1,Pl,L,0-30,124,half of A1 (has been x2 already)
FR26,A1,Pl,L,31-130,1628,half of A1 (has been x2 already)
FR26,A1,Pl,D,0-30,0,
FR26,A1,Pl,D,31-130,12,half of A1 (has been x2 already)
FR26,A1,Sx,L,0-30,100,half of A1 (has been x2 already)
FR26,A1,Sx,L,31-130,90,half of A1 (has been x2 already)
FR26,A1,Sx,D,0-30,0,
FR26,A1,Sx,D,31-130,0,
FR26,A1,At,L,0-30,0,
FR26,A1,At,L,31-130,8,half of A1 (has been x2 already)
FR26,A1,At,D,0-30,0,
FR26,A1,At,D,31-130,0,
FR26,A1,Bl,L,0-30,0,
FR26,A1,Bl,L,31-130,0,
FR26,A1,Bl,D,0-30,0,
FR26,A1,Bl,D,31-130,0,
FR26,A1,Ac,L,0-30,0,
FR26,A1,Ac,L,31-130,0,
FR26,A1,Ac,D,0-30,0,
FR26,A1,Ac,D,31-130,0,
FR26,A1,Fd,L,0-30,0,
FR26,A1,Fd,L,31-130,0,
FR26,A1,Fd,D,0-30,0,
FR26,A1,Fd,D,31-130,0,
FR26,A1,Ep,L,0-30,0,
FR26,A1,Ep,L,31-130,0,
FR26,A1,Ep,D,0-30,0,
FR26,A1,Ep,D,31-130,0,
FR26,A1,Lw,L,0-30,0,
FR26,A1,Lw,L,31-130,0,
FR26,A1,Lw,D,0-30,0,
FR26,A1,Lw,D,31-130,0,
FR27,A1,Pl,L,0-30,1,
FR27,A1,Pl,L,31-130,0,
FR27,A1,Pl,D,0-30,0,
FR27,A1,Pl,D,31-130,7,
FR27,A1,Sx,L,0-30,0,
FR27,A1,Sx,L,31-130,0,
FR27,A1,Sx,D,0-30,0,
FR27,A1,Sx,D,31-130,0,
FR27,A1,At,L,0-30,0,
FR27,A1,At,L,31-130,1,
FR27,A1,At,D,0-30,0,
FR27,A1,At,D,31-130,0,
FR27,A1,Bl,L,0-30,0,
FR27,A1,Bl,L,31-130,0,
FR27,A1,Bl,D,0-30,0,
FR27,A1,Bl,D,31-130,0,
FR27,A1,Ac,L,0-30,0,
FR27,A1,Ac,L,31-130,0,
FR27,A1,Ac,D,0-30,0,
FR27,A1,Ac,D,31-130,0,
FR27,A1,Fd,L,0-30,0,
FR27,A1,Fd,L,31-130,0,
FR27,A1,Fd,D,0-30,0,
FR27,A1,Fd,D,31-130,0,
FR27,A1,Ep,L,0-30,0,
FR27,A1,Ep,L,31-130,0,
FR27,A1,Ep,D,0-30,0,
FR27,A1,Ep,D,31-130,0,
FR27,A1,Lw,L,0-30,0,
FR27,A1,Lw,L,31-130,0,
FR27,A1,Lw,D,0-30,0,
FR27,A1,Lw,D,31-130,0,
FR28,A1,Pl,L,0-30,2,
FR28,A1,Pl,L,31-130,3,
FR28,A1,Pl,D,0-30,0,
FR28,A1,Pl,D,31-130,1,
FR28,A1,Sx,L,0-30,3,
FR28,A1,Sx,L,31-130,6,
FR28,A1,Sx,D,0-30,0,
FR28,A1,Sx,D,31-130,0,
FR28,A1,At,L,0-30,3,
FR28,A1,At,L,31-130,16,
FR28,A1,At,D,0-30,0,
FR28,A1,At,D,31-130,27,
FR28,A1,Bl,L,0-30,0,
FR28,A1,Bl,L,31-130,0,
FR28,A1,Bl,D,0-30,0,
FR28,A1,Bl,D,31-130,0,
FR28,A1,Ac,L,0-30,0,
FR28,A1,Ac,L,31-130,0,
FR28,A1,Ac,D,0-30,0,
FR28,A1,Ac,D,31-130,0,
FR28,A1,Fd,L,0-30,0,
FR28,A1,Fd,L,31-130,0,
FR28,A1,Fd,D,0-30,0,
FR28,A1,Fd,D,31-130,0,
FR28,A1,Ep,L,0-30,0,
FR28,A1,Ep,L,31-130,0,
FR28,A1,Ep,D,0-30,0,
FR28,A1,Ep,D,31-130,0,
FR28,A1,Lw,L,0-30,0,
FR28,A1,Lw,L,31-130,0,
FR28,A1,Lw,D,0-30,0,
FR28,A1,Lw,D,31-130,0,
FR28,C1,Pl,L,0-30,0,
FR28,C1,Pl,L,31-130,3,
FR28,C1,Pl,D,0-30,0,
FR28,C1,Pl,D,31-130,0,
FR28,C1,Sx,L,0-30,0,
FR28,C1,Sx,L,31-130,2,
FR28,C1,Sx,D,0-30,0,
FR28,C1,Sx,D,31-130,0,
FR28,C1,At,L,0-30,1,
FR28,C1,At,L,31-130,0,
FR28,C1,At,D,0-30,0,
FR28,C1,At,D,31-130,0,
FR28,C1,Bl,L,0-30,0,
FR28,C1,Bl,L,31-130,0,
FR28,C1,Bl,D,0-30,0,
FR28,C1,Bl,D,31-130,0,
FR28,C1,Ac,L,0-30,0,
FR28,C1,Ac,L,31-130,0,
FR28,C1,Ac,D,0-30,0,
FR28,C1,Ac,D,31-130,0,
FR28,C1,Fd,L,0-30,0,
FR28,C1,Fd,L,31-130,0,
FR28,C1,Fd,D,0-30,0,
FR28,C1,Fd,D,31-130,0,
FR28,C1,Ep,L,0-30,0,
FR28,C1,Ep,L,31-130,0,
FR28,C1,Ep,D,0-30,0,
FR28,C1,Ep,D,31-130,0,
FR28,C1,Lw,L,0-30,0,
FR28,C1,Lw,L,31-130,0,
FR28,C1,Lw,D,0-30,0,
FR28,C1,Lw,D,31-130,0,
FR29,A1,Pl,L,0-30,14,
FR29,A1,Pl,L,31-130,75,
FR29,A1,Pl,D,0-30,3,
FR29,A1,Pl,D,31-130,22,
FR29,A1,Sx,L,0-30,3,
FR29,A1,Sx,L,31-130,0,
FR29,A1,Sx,D,0-30,0,
FR29,A1,Sx,D,31-130,0,
